objectId,Postal_Code,Place_Name,ACL,Latitude,updatedAt,Longitude,Accuracy,createdAt
G9ykKvYyrv,T0B,Wainwright Region (Tofield),null,53.0727,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.5816,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
xwnIga49HY,T3N,Calgary Northeast,null,51.1626,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9537,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
X4JoEjqDyv,T3Z,Redwood Meadows,null,51.0691,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.4727,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
0Qqx7echK9,T2C,Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),null,50.987,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9634,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
tInbycCmvI,T1H,Lethbridge North,null,49.7,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.8186,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
UoR1wiGYAm,T1A,Medicine Hat Central,null,50.0816,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-110.5788,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
rAtVBEDYY5,T3M,Calgary (Cranston),null,50.8796,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9555,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
CpxhqUu0mW,T1Y,Calgary (Rundle / Whitehorn / Monterey Park),null,51.0823,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9578,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
w9C8J75h2N,T3K,Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington),null,51.1563,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0572,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
rxh0Xhf6RV,T4A,Airdrie East,null,51.2799,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.988,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
CyARwNr1Up,T2R,Calgary (Connaught / West Victoria Park),null,51.0412,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0762,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
3w0AtDuNHH,T0V,Remote Northeast (Fitzgerald),null,59.9049,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.6717,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
OXKrSUUTpC,T2Y,Calgary (Millrise / Somerset / Bridlewood / Evergreen),null,50.9093,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1028,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
tNrJMRtCf6,T1K,Lethbridge Southeast,null,49.6511,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.8351,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
NF4iJQFq24,T5H,Edmonton (North and East Downtown Fringe),null,53.5514,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4916,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
A0bkkfnULU,T4T,Rocky Mountain House,null,52.3668,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.9188,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
96MOil8O8z,T2P,Calgary (City Centre / Calgary Tower),null,51.0708,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.6931,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
Nk2mxIsCyJ,T2S,Calgary (Elbow Park / Britannia / Parkhill / Mission),null,51.0233,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.071,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
q7AaB0pay5,T0G,North Central Alberta (Slave Lake),null,55.6993,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.4529,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
y2Q4cWNbAh,T1X,Chestermere,null,51.0334,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.8187,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
LBujX7iTVj,T3H,Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),null,51.0419,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.2,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
8L2cbwjJEI,T0P,Northeastern Alberta (Fort Chipewyan),null,58.2626,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-110.7467,5,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
QPFNv1dJrO,T2G,Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome),null,51.0272,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0349,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
pUfChRXIlR,T5X,Edmonton (East Castledowns),null,53.6313,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5245,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
PWEzhnJh93,T1R,Brooks,null,50.5834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.8851,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
lVO6IgMzh5,T0E,Western Alberta (Jasper),null,53.6758,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-115.0948,5,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
IQmrcdNAuO,T4S,Sylvan Lake,null,52.3168,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0853,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
J4BXEN5N8y,T2E,Calgary (Bridgeland / Greenview / Zoo / YYC),null,51.0876,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0214,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
NHqWqGX5Ge,T2X,Calgary (Midnapore / Sundance),null,50.8837,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0326,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
xbuh08KqZ9,T4G,Innisfail,null,52.0269,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9507,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
B4S51Q4zSs,T5S,Edmonton (West Northwest Industrial / Winterburn),null,53.5634,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.6697,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
G8XAKrX9pU,T1J,Lethbridge West and Central,null,49.6581,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.7484,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
Q7wEFFd79Y,T3P,Calgary (Symons Valley),null,51.2074,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1348,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
S1heXbb9Tt,T5C,Edmonton (Central Londonderry),null,53.5996,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4549,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
8s4HYqAbSc,T2W,Calgary (Braeside / Woodbine),null,50.9514,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.3591,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
Tz74PwLRsQ,T5E,Edmonton (West Londonderry / East Calder),null,53.7454,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4465,5,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
FuDPxJlTAT,T5Z,Edmonton (West Lake District),null,53.6365,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4673,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
GF7m3a8vsP,T2N,Calgary (Kensington / Westmont / Parkdale / University),null,51.0621,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1159,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
DLvyEeQYpk,T4L,Lacombe,null,52.4668,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.7353,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
C7kQHnh5tT,T1M,Coaldale,null,49.7167,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.6185,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
A6pbXS3ENq,T2J,Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia),null,50.8476,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1958,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
lZmGHDGNzD,T1W,Canmore,null,51.0876,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-115.3461,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
nHhv9PPpqF,T0K,International Border Region (Cardston),null,49.4721,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.2408,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
C8Bow9ofsa,T5P,Edmonton (North Jasper Place),null,53.5463,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5957,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
PuGpQkiMhy,T2Z,Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),null,50.9278,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9682,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
AMikySL1vm,T3S,Calgary,null,50.9153,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.8932,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
ftVGmhPSXk,T4E,Red Deer County,null,52.2765,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.7063,5,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
UjdPPXQ0T4,T4R,Red Deer South,null,52.2424,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.7784,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
5jSgKbpXDH,T5K,Edmonton (South Downtown / South Downtown Fringe),null,53.5366,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5103,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
2XVchBI2WR,T5M,Edmonton (South Westmount / Groat Estate / East Northwest Industrial),null,53.563,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5662,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
LOGtDqwvTH,T5T,Edmonton West (West Jasper Place / West Edmonton Mall),null,53.5185,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.6579,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
sMcImedzWg,T2L,Calgary (Brentwood / Collingwood / Nose Hill),null,51.1047,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1148,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
yPB62zT2Wm,T4P,Red Deer North,null,52.2954,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.8073,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
5npSHpBgJA,T3C,Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta),null,51.0497,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1394,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
uVDqY2kHeM,T4B,Airdrie West,null,51.3082,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0398,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
xEUvPrjg44,T4J,Ponoka,null,52.6768,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5815,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
xk7omqONA2,T5R,Edmonton (Central Jasper Place / Buena Vista),null,53.5181,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5797,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
wBCZk2g0RG,T4V,Camrose,null,53.0168,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.8353,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
WwhAnAhmwo,T5N,Edmonton (Glenora / SW Downtown Fringe),null,53.5436,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5574,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
C0UdR9YtHR,T5Y,Edmonton (Landbank / Oliver / East Lake District),null,53.6585,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.3614,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
0I3UP6epv1,T5A,Edmonton (West Clareview / East Londonderry),null,53.5931,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4077,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
pOwo4VAxQ0,T5G,Edmonton (North Central / Queen Mary Park / YXD),null,53.5705,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5051,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
z0InrREp4M,T4X,Beaumont,null,53.3501,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4187,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
6GMAR6dBCM,T4H,Olds,null,51.7834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.102,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
qrPn0mV37P,T5W,Edmonton (Central Beverly),null,53.5645,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4022,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
TtClKYwPdY,T5V,Edmonton (Central Mistatim),null,53.5848,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.6224,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
GHCOR17www,T4N,Red Deer Central,null,52.2316,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.8358,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
kcsn4fEYRI,T4C,Cochrane,null,51.1834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.4687,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
uzjnsYAnzh,T6A,Edmonton (North Capilano),null,53.5482,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4318,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
07dlABuwO7,T5J,Edmonton (North Downtown),null,53.5428,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4974,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
wViP0YpRhN,T4M,Blackfalds,null,52.3834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.7853,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
zD1zXyZLgZ,T5B,Edmonton (East North Central / West Beverly),null,53.7353,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.3369,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
C1FBy8LVs3,T6E,Edmonton (South Bonnie Doon / East University),null,53.4914,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4802,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
QA18BmqhLw,T6S,Edmonton (North Clover Bar),null,53.5806,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.3374,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
lK5NwD52UX,T6B,Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon),null,53.5128,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4194,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
ItlcS0Dbtv,T6M,Edmonton Southwest,null,53.4593,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.6546,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
ttZ4IjPAn4,T6L,Edmonton (East Mill Woods),null,53.4593,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4145,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
xDpmECpGsP,T6C,Edmonton (Central Bonnie Doon),null,53.522,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.459,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
kVC7M8PKnK,T6G,Edmonton (West University / Strathcona Place),null,53.521,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5324,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
ocs8yE7RAG,T6H,Edmonton (Southgate / North Riverbend),null,53.3753,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4585,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
FlALxzR562,T6J,Edmonton (Kaskitayo),null,53.4564,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.521,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
RbA697kWPD,T7S,Whitecourt,null,54.1501,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-115.6855,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
0pN4LEGSDj,T6N,Edmonton (South Industrial),null,53.465,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4776,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
HEdMHkhGmH,T6W,Edmonton (Heritage Valley),null,53.4179,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5785,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
